start_time,end_time,bus_id,route_name,direction
2025-08-23 21:20:01,2025-08-23 21:33:01,2246,901 State Fair - Hub,hub-bound
2025-08-23 21:33:01,2025-08-23 21:50:02,2246,901 State Fair - Hub,Fairgrounds-bound
2025-08-23 21:50:02,2025-08-23 22:14:01,2246,901 State Fair - Hub,hub-bound
2025-08-23 22:14:01,2025-08-23 22:35:01,2246,901 State Fair - Hub,Fairgrounds-bound
2025-08-23 22:35:01,2025-08-23 22:52:01,2246,901 State Fair - Hub,hub-bound
2025-08-23 22:52:01,2025-08-23 23:20:01,2246,901 State Fair - Hub,Fairgrounds-bound
2025-08-23 23:20:01,2025-08-23 23:36:01,2246,901 State Fair - Hub,hub-bound
2025-08-23 23:36:01,2025-08-23 23:50:01,2246,901 State Fair - Hub,Fairgrounds-bound
2025-08-23 23:50:01,2025-08-24 00:02:01,2246,901 State Fair - Hub,hub-bound
2025-08-29 01:06:01,2025-08-29 01:22:01,2430,901 State Fair - Hub,Fairgrounds-bound
2025-08-29 01:22:01,2025-08-29 01:57:01,2430,901 State Fair - Hub,hub-bound
2025-08-29 01:57:01,2025-08-29 02:15:02,2430,901 State Fair - Hub,Fairgrounds-bound
2025-08-29 02:15:02,2025-08-29 02:41:01,2430,901 State Fair - Hub,hub-bound
2025-08-29 02:41:01,2025-08-29 02:53:02,2430,901 State Fair - Hub,Fairgrounds-bound
2025-08-29 02:53:02,2025-08-29 03:26:01,2430,901 State Fair - Hub,hub-bound
2025-09-01 17:21:01,2025-09-01 17:40:01,2430,909 Destiny USA,Fairgrounds-bound
2025-09-01 17:40:01,2025-09-01 17:58:01,2430,909 Destiny USA,Destiny USA-bound
2025-09-01 17:58:01,2025-09-01 18:30:02,2430,909 Destiny USA,Fairgrounds-bound
2025-09-01 18:30:02,2025-09-01 18:51:01,2430,909 Destiny USA,Destiny USA-bound
2025-09-01 18:51:01,2025-09-01 19:16:01,2430,909 Destiny USA,Fairgrounds-bound
2025-09-01 19:16:01,2025-09-01 19:28:01,2430,909 Destiny USA,Destiny USA-bound
2025-09-01 19:28:01,2025-09-01 20:09:01,2430,909 Destiny USA,Fairgrounds-bound
2025-09-01 20:09:01,2025-09-01 20:26:01,2430,909 Destiny USA,Destiny USA-bound
2025-09-01 20:26:01,2025-09-01 20:55:02,2430,909 Destiny USA,Fairgrounds-bound
2025-09-01 20:55:02,2025-09-01 21:13:01,2430,909 Destiny USA,Destiny USA-bound
2025-09-01 21:13:01,2025-09-01 21:54:01,2430,909 Destiny USA,Fairgrounds-bound
2025-09-01 21:54:01,2025-09-01 22:11:01,2430,909 Destiny USA,Destiny USA-bound
2025-08-20 16:05:01,2025-08-20 16:33:01,2431,909 Destiny USA,Fairgrounds-bound
2025-08-20 16:33:01,2025-08-20 16:45:01,2431,909 Destiny USA,Destiny USA-bound
2025-08-20 16:45:01,2025-08-20 17:06:02,2431,909 Destiny USA,Fairgrounds-bound
