timestamp,route,count
2025-08-28 18:43:01,907 Long Branch Park,2
2025-08-28 18:43:01,582 Orange Lot,2
2025-08-28 18:44:01,901 State Fair - Hub,1
2025-08-28 18:44:01,909 Destiny USA,3
2025-08-28 18:44:01,907 Long Branch Park,2
2025-08-28 18:44:01,582 Orange Lot,2
2025-08-28 18:45:01,901 State Fair - Hub,1
2025-08-28 18:45:01,909 Destiny USA,3
2025-08-28 18:45:01,907 Long Branch Park,2
2025-08-28 18:45:01,582 Orange Lot,2
2025-08-28 18:46:01,901 State Fair - Hub,1
2025-08-28 18:46:01,909 Destiny USA,3
2025-08-28 18:46:01,907 Long Branch Park,2
2025-08-28 18:46:01,582 Orange Lot,2
2025-08-28 18:47:01,901 State Fair - Hub,1
2025-08-28 18:47:01,909 Destiny USA,3
2025-08-28 18:47:01,907 Long Branch Park,2
2025-08-28 18:47:01,582 Orange Lot,2
2025-08-28 18:48:02,901 State Fair - Hub,1
2025-08-28 18:48:02,909 Destiny USA,3
2025-08-28 18:48:02,907 Long Branch Park,2
2025-08-28 18:48:02,582 Orange Lot,2
2025-08-28 18:49:01,901 State Fair - Hub,1
2025-08-28 18:49:01,909 Destiny USA,3
2025-08-28 18:49:01,907 Long Branch Park,2
2025-08-28 18:49:01,582 Orange Lot,2
2025-08-28 18:50:01,901 State Fair - Hub,1
2025-08-28 18:50:01,909 Destiny USA,3
2025-08-28 18:50:01,907 Long Branch Park,2
2025-08-28 18:50:01,582 Orange Lot,2
2025-08-28 18:51:01,901 State Fair - Hub,1
2025-08-28 18:51:01,909 Destiny USA,3
2025-08-28 18:51:01,907 Long Branch Park,2
2025-08-28 18:51:01,582 Orange Lot,2
2025-08-28 18:52:01,901 State Fair - Hub,1
2025-08-28 18:52:01,909 Destiny USA,3
2025-08-28 18:52:01,907 Long Branch Park,2
2025-08-28 18:52:01,582 Orange Lot,2
2025-08-28 18:53:02,901 State Fair - Hub,1
2025-08-28 18:53:02,909 Destiny USA,3
2025-08-28 18:53:02,907 Long Branch Park,2
2025-08-28 18:53:02,582 Orange Lot,2
2025-08-28 18:54:01,901 State Fair - Hub,1
2025-08-28 18:54:01,909 Destiny USA,3
2025-08-28 18:54:01,907 Long Branch Park,2
2025-08-28 18:54:01,582 Orange Lot,2
2025-08-28 18:55:01,901 State Fair - Hub,1
2025-08-28 18:55:01,909 Destiny USA,3
2025-08-28 18:55:01,907 Long Branch Park,2
2025-08-28 18:55:01,582 Orange Lot,2
2025-08-28 18:56:02,901 State Fair - Hub,1
2025-08-28 18:56:02,909 Destiny USA,3
2025-08-28 18:56:02,907 Long Branch Park,2
2025-08-28 18:56:02,582 Orange Lot,2
2025-08-28 18:57:01,901 State Fair - Hub,1
2025-08-28 18:57:01,909 Destiny USA,3
2025-08-28 18:57:01,907 Long Branch Park,2
2025-08-28 18:57:01,582 Orange Lot,2
2025-08-28 18:58:01,901 State Fair - Hub,1
2025-08-28 18:58:01,909 Destiny USA,3
2025-08-28 18:58:01,907 Long Branch Park,2
2025-08-28 18:58:01,582 Orange Lot,2
2025-08-28 18:59:01,901 State Fair - Hub,1
2025-08-28 18:59:01,909 Destiny USA,3
2025-08-28 18:59:01,907 Long Branch Park,2
2025-08-28 18:59:01,582 Orange Lot,2
2025-08-28 19:00:01,901 State Fair - Hub,1
2025-08-28 19:00:01,909 Destiny USA,3
2025-08-28 19:00:01,907 Long Branch Park,2
2025-08-28 19:00:01,582 Orange Lot,2
2025-08-28 19:01:01,901 State Fair - Hub,1
2025-08-28 19:01:01,909 Destiny USA,3
2025-08-28 19:01:01,907 Long Branch Park,2
2025-08-28 19:01:01,582 Orange Lot,2
2025-08-28 19:02:01,901 State Fair - Hub,1
2025-08-28 19:02:01,909 Destiny USA,3
2025-08-28 19:02:01,907 Long Branch Park,2
2025-08-28 19:02:01,582 Orange Lot,2
2025-08-28 19:03:02,901 State Fair - Hub,1
2025-08-28 19:03:02,909 Destiny USA,3
2025-08-28 19:03:02,907 Long Branch Park,2
2025-08-28 19:03:02,582 Orange Lot,2
2025-08-28 19:04:01,901 State Fair - Hub,1
2025-08-28 19:04:01,909 Destiny USA,3
2025-08-28 19:04:01,907 Long Branch Park,2
2025-08-28 19:04:01,582 Orange Lot,2
2025-08-28 19:05:01,901 State Fair - Hub,1
2025-08-28 19:05:01,909 Destiny USA,3
2025-08-28 19:05:01,907 Long Branch Park,2
2025-08-28 19:05:01,582 Orange Lot,2
2025-08-28 19:06:02,901 State Fair - Hub,1
2025-08-28 19:06:02,909 Destiny USA,3
2025-08-28 19:06:02,907 Long Branch Park,2
2025-08-28 19:06:02,582 Orange Lot,2
2025-08-28 19:07:01,901 State Fair - Hub,1
2025-08-28 19:07:01,909 Destiny USA,3
2025-08-28 19:07:01,907 Long Branch Park,2
2025-08-28 19:07:01,582 Orange Lot,2
2025-08-28 19:08:01,901 State Fair - Hub,1
2025-08-28 19:08:01,909 Destiny USA,3
2025-08-28 19:08:01,907 Long Branch Park,2
2025-08-28 19:08:01,582 Orange Lot,2
2025-08-28 19:09:01,901 State Fair - Hub,1
2025-08-28 19:09:01,909 Destiny USA,3
2025-08-28 19:09:01,907 Long Branch Park,2
2025-08-28 19:09:01,582 Orange Lot,2
2025-08-28 19:10:01,901 State Fair - Hub,1
2025-08-28 19:10:01,909 Destiny USA,3
2025-08-28 19:10:01,907 Long Branch Park,2
2025-08-28 19:10:01,582 Orange Lot,2
2025-08-28 19:11:01,901 State Fair - Hub,1
2025-08-28 19:11:01,909 Destiny USA,3
2025-08-28 19:11:01,907 Long Branch Park,2
2025-08-28 19:11:01,582 Orange Lot,2
2025-08-28 19:12:01,901 State Fair - Hub,1
2025-08-28 19:12:01,909 Destiny USA,3
2025-08-28 19:12:01,907 Long Branch Park,2
2025-08-28 19:12:01,582 Orange Lot,2
2025-08-28 19:13:02,901 State Fair - Hub,1
2025-08-28 19:13:02,909 Destiny USA,3
2025-08-28 19:13:02,907 Long Branch Park,2
2025-08-28 19:13:02,582 Orange Lot,2
2025-08-28 19:14:01,901 State Fair - Hub,1
2025-08-28 19:14:01,909 Destiny USA,3
2025-08-28 19:14:01,907 Long Branch Park,2
2025-08-28 19:14:01,582 Orange Lot,2
2025-08-28 19:15:01,901 State Fair - Hub,1
2025-08-28 19:15:01,909 Destiny USA,2
2025-08-28 19:15:01,907 Long Branch Park,2
2025-08-28 19:15:01,582 Orange Lot,2
2025-08-28 19:16:01,901 State Fair - Hub,1
2025-08-28 19:16:01,909 Destiny USA,2
2025-08-28 19:16:01,907 Long Branch Park,2
2025-08-28 19:16:01,582 Orange Lot,2
2025-08-28 19:17:00,901 State Fair - Hub,1
2025-08-28 19:17:00,909 Destiny USA,2
2025-08-28 19:17:00,907 Long Branch Park,2
2025-08-28 19:17:00,582 Orange Lot,2
2025-08-28 19:18:01,901 State Fair - Hub,1
2025-08-28 19:18:01,909 Destiny USA,2
2025-08-28 19:18:01,907 Long Branch Park,2
2025-08-28 19:18:01,582 Orange Lot,2
2025-08-28 19:19:02,901 State Fair - Hub,1
2025-08-28 19:19:02,909 Destiny USA,2
2025-08-28 19:19:02,907 Long Branch Park,2
2025-08-28 19:19:02,582 Orange Lot,2
2025-08-28 19:20:02,901 State Fair - Hub,1
2025-08-28 19:20:02,909 Destiny USA,2
2025-08-28 19:20:02,907 Long Branch Park,2
