,start_time,end_time,bus_id,route_name,direction
3280,2024-08-21 23:33:02,2024-08-21 23:48:02,1913,907 Long Branch Park,Fairgrounds-bound
4457,2024-08-21 23:34:02,2024-08-21 23:53:01,2240,907 Long Branch Park,Long Branch Park-bound
3832,2024-08-21 23:36:01,2024-08-21 23:49:02,2230,909 Destiny USA,Destiny USA-bound
1502,2024-08-21 23:39:02,2024-08-21 23:56:01,1771,909 Destiny USA,Fairgrounds-bound
1079,2024-08-21 23:40:02,2024-08-21 23:50:03,1765,901 State Fair - Hub,hub-bound
2060,2024-08-21 23:41:01,2024-08-21 23:54:01,1780,901 State Fair - Hub,Fairgrounds-bound
3281,2024-08-21 23:48:02,2024-08-22 00:07:01,1913,907 Long Branch Park,Long Branch Park-bound
3833,2024-08-21 23:49:02,2024-08-22 00:04:00,2230,909 Destiny USA,Fairgrounds-bound
4658,2024-08-21 23:50:03,2024-08-22 00:02:01,2242,909 Destiny USA,Destiny USA-bound
4458,2024-08-21 23:53:01,2024-08-22 00:16:02,2240,907 Long Branch Park,Fairgrounds-bound
2061,2024-08-21 23:54:01,2024-08-22 00:08:02,1780,901 State Fair - Hub,hub-bound
1503,2024-08-21 23:56:01,2024-08-22 00:06:02,1771,909 Destiny USA,Destiny USA-bound
100,2024-08-21 23:56:01,2024-08-22 00:09:01,1253,901 State Fair - Hub,Fairgrounds-bound
3834,2024-08-22 00:04:00,2024-08-22 00:11:03,2230,909 Destiny USA,Destiny USA-bound
3282,2024-08-22 00:07:01,2024-08-22 00:26:01,1913,907 Long Branch Park,Fairgrounds-bound
2062,2024-08-22 00:08:02,2024-08-22 00:28:01,1780,901 State Fair - Hub,Fairgrounds-bound
101,2024-08-22 00:09:01,2024-08-22 00:31:01,1253,901 State Fair - Hub,hub-bound
627,2024-08-22 00:14:03,2024-08-22 00:30:04,1757,909 Destiny USA,Fairgrounds-bound
278,2024-08-22 00:14:03,2024-08-22 00:24:02,1751,909 Destiny USA,Fairgrounds-bound
4459,2024-08-22 00:16:02,2024-08-22 00:36:03,2240,907 Long Branch Park,Long Branch Park-bound
279,2024-08-22 00:24:02,2024-08-22 00:40:04,1751,909 Destiny USA,Destiny USA-bound
3283,2024-08-22 00:26:01,2024-08-22 00:49:02,1913,907 Long Branch Park,Long Branch Park-bound
2063,2024-08-22 00:28:01,2024-08-22 00:48:01,1780,901 State Fair - Hub,hub-bound
628,2024-08-22 00:30:04,2024-08-22 00:48:01,1757,909 Destiny USA,Destiny USA-bound
102,2024-08-22 00:31:01,2024-08-22 00:44:01,1253,901 State Fair - Hub,Fairgrounds-bound
4460,2024-08-22 00:36:03,2024-08-22 00:57:02,2240,907 Long Branch Park,Fairgrounds-bound
280,2024-08-22 00:40:04,2024-08-22 00:55:01,1751,909 Destiny USA,Fairgrounds-bound
3884,2024-08-22 00:42:02,2024-08-22 00:56:02,2231,909 Destiny USA,Fairgrounds-bound
103,2024-08-22 00:44:01,2024-08-22 01:02:01,1253,901 State Fair - Hub,hub-bound
2064,2024-08-22 00:48:01,2024-08-22 01:11:01,1780,901 State Fair - Hub,Fairgrounds-bound
629,2024-08-22 00:48:01,2024-08-22 01:02:01,1757,909 Destiny USA,Fairgrounds-bound
3284,2024-08-22 00:49:02,2024-08-22 01:09:01,1913,907 Long Branch Park,Fairgrounds-bound
281,2024-08-22 00:55:01,2024-08-22 01:09:01,1751,909 Destiny USA,Destiny USA-bound
3885,2024-08-22 00:56:02,2024-08-22 01:11:01,2231,909 Destiny USA,Destiny USA-bound
4461,2024-08-22 00:57:02,2024-08-22 01:15:03,2240,907 Long Branch Park,Long Branch Park-bound
630,2024-08-22 01:02:01,2024-08-22 01:24:01,1757,909 Destiny USA,Destiny USA-bound
104,2024-08-22 01:02:01,2024-08-22 01:15:03,1253,901 State Fair - Hub,Fairgrounds-bound
282,2024-08-22 01:09:01,2024-08-22 01:18:03,1751,909 Destiny USA,Fairgrounds-bound
